"pi_key","primary.subject","herfindahl","weighted.primary.subject","weighted.herfindahl"
"nih_1840203","BIOC",0.356052442528736,"OTHER",0.114537202778353
"nih_1852587","CHEM",0.294483141120087,"CHEM",0.26957216162089
"nih_1857677","BIOC",0.350184672206833,"IMMU",0.228337940133001
"nih_1857694","BIOC",0.370086877000457,"IMMU",0.217883926559097
"nih_1857785","BIOC",0.462612896450326,"MULT",0.181638167384346
"nih_1857787","BIOC",0.309081361454047,"IMMU",0.274974748184165
"nih_1857799","BIOC",0.341521421191751,"IMMU",0.205757547658015
"nih_1857949","BIOC",0.318053075888823,"NEUR",0.352900640447005
"nih_1857999","MEDI",0.379846370869977,"MEDI",0.244449313041483
"nih_1858000","IMMU",0.246899801587302,"IMMU",0.260943669198008
"nih_1858016","BIOC",0.512187871581451,"BIOC",0.21010372873647
"nih_1858017","BIOC",0.606324908033701,"AGRI",0.266500992124109
"nih_1858018","BIOC",0.577726641829206,"NEUR",0.285365050272821
"nih_1858025","BIOC",0.556949250288351,"MULT",0.245043606178771
"nih_1858378","CHEM",0.226908802736781,"CENG",0.275072674235762
"nih_1858379","BIOC",0.5,"OTHER",0.813548538411578
"nih_1858393","BIOC",0.402546571541815,"MULT",0.208556494085134
"nih_1858394","IMMU",0.304110301768991,"IMMU",0.363842396573808
"nih_1858403","BIOC",0.50513624567474,"MULT",0.414559827981709
"nih_1858404","BIOC",0.333756710528544,"CENG",0.355500567331671
"nih_1858410","BIOC",0.41978504525954,"CHEM",0.183120081450392
"nih_1858415","BIOC",0.328232842136132,"MULT",0.185994777412212
"nih_1858485","NEUR",0.406574394463668,"NEUR",0.856063245642566
"nih_1858536","BIOC",0.436683006535948,"MEDI",0.279555942934185
"nih_1858670","MEDI",0.438778344671202,"OTHER",0.443253249297103
"nih_1858679","BIOC",0.798838053740015,"BIOC",0.327377876557805
"nih_1858704","BIOC",0.33013260173754,"MULT",0.21165494918201
"nih_1858803","BIOC",0.420710987996307,"MULT",0.256321203323816
"nih_1858811","BIOC",0.320816186556927,"IMMU",0.136111842382509
"nih_1858903","BIOC",0.694053982137072,"BIOC",0.302431088534667
"nih_1858963","BIOC",0.698490553573788,"AGRI",0.309131753902318
"nih_1859093","BIOC",0.201755829903978,"NEUR",0.394653493266784
"nih_1859098","BIOC",0.361845193806689,"CHEM",0.155778912823095
"nih_1859109","BIOC",0.462673611111111,"MULT",0.310648078902336
"nih_1859116","IMMU",0.297145328719723,"IMMU",0.330752272500588
"nih_1859162","BIOC",0.649831866331352,"BIOC",0.214608211015234
"nih_1859164","CHEM",0.290826332913875,"OTHER",0.286406506841672
"nih_1859172","MULT",0.272371498922745,"MULT",0.329549195816379
"nih_1859360","BIOC",0.455110870740941,"AGRI",0.345344875373151
"nih_1859365","BIOC",0.384544178685538,"OTHER",0.157200213045152
"nih_1859377","BIOC",0.616496598639456,"AGRI",0.347585239864513
"nih_1859383","BIOC",0.561226166995398,"IMMU",0.355511470355272
"nih_1859424","BIOC",0.432415674603175,"CENG",0.166991745926597
"nih_1859694","IMMU",0.388712565104167,"IMMU",0.473689483298211
"nih_1860024","BIOC",0.493007330246913,"AGRI",0.264045113334658
"nih_1860132","NEUR",0.458847736625514,"NEUR",0.84797794077407
"nih_1860178","BIOC",0.239916659155099,"MULT",0.198427350377576
"nih_1860212","IMMU",0.364765517832648,"IMMU",0.470821440979388
"nih_1860213","CHEM",0.274166666666667,"CENG",0.351635160934223
"nih_1860225","BIOC",0.567082837891399,"BIOC",0.177317073933893
"nih_1860231","BIOC",0.432426323484149,"AGRI",0.252233054259501
"nih_1860233","BIOC",0.528146701388889,"BIOC",0.155190390792965
"nih_1860244","BIOC",0.626479289940828,"PHAR",0.249006831141121
"nih_1860472","BIOC",0.318152873894656,"IMMU",0.268696645032962
"nih_1860523","BIOC",0.59731149882665,"IMMU",0.223298507315721
"nih_1860696","BIOC",0.355501302083333,"CENG",0.14067796946705
"nih_1860700","BIOC",0.465082668516592,"BIOC",0.14356009744789
"nih_1860709","BIOC",0.370263605442177,"AGRI",0.180104014768827
"nih_1860711","MEDI",0.400065746219592,"MEDI",0.314688600799612
"nih_1860712","IMMU",0.354094579008074,"IMMU",0.433212142947107
"nih_1860713","BIOC",0.412850023977815,"OTHER",0.170584163338055
"nih_1860716","BIOC",0.242027016610784,"OTHER",0.208178087469633
"nih_1860775","IMMU",0.295915712799168,"IMMU",0.387465920313495
"nih_1860807","BIOC",0.504882842025699,"BIOC",0.131906052882776
"nih_1860974","BIOC",0.299479166666667,"AGRI",0.543498165294147
"nih_1861000","BIOC",0.732925170068027,"BIOC",0.281508787423088
"nih_1861157","PHAR",0.26521164021164,"PHAR",0.553871823864706
"nih_1861158","PHAR",0.321551930508533,"PHAR",0.633965421908981
"nih_1861164","MEDI",0.398775272901147,"MEDI",0.27336677070294
"nih_1861270","BIOC",0.490444623607752,"MULT",0.24092210236108
"nih_1861603","IMMU",0.282880658436214,"IMMU",0.326057878940763
"nih_1861604","BIOC",0.271936042848141,"IMMU",0.239408933964155
"nih_1861611","BIOC",0.594609197845805,"BIOC",0.202435236824331
"nih_1861844","BIOC",0.565001981767737,"BIOC",0.205219612945979
"nih_1861853","BIOC",0.486328125,"IMMU",0.303440163367041
"nih_1861866","BIOC",0.617417068411387,"MULT",0.285733983663109
"nih_1861974","BIOC",0.333590534979424,"MULT",0.171526616779573
"nih_1862124","BIOC",0.480556006456907,"BIOC",0.157855567944017
"nih_1862126","BIOC",0.501395617070358,"AGRI",0.300725785621337
"nih_1862127","BIOC",0.63836133430728,"AGRI",0.503106439997204
"nih_1862128","BIOC",0.313997967844122,"MULT",0.142619008296428
"nih_1862146","BIOC",0.505308159722222,"PHAR",0.254374148919817
"nih_1862328","BIOC",0.549634668682288,"AGRI",0.272163330980982
"nih_1862351","BIOC",0.534979423868313,"AGRI",0.176064040076267
"nih_1862427","MEDI",0.285354286469694,"PHAR",0.236235838474261
"nih_1862569","NEUR",0.291454081632653,"NEUR",0.513461462644177
"nih_1862641","BIOC",0.355752332863048,"NEUR",0.467701468583101
"nih_1862714","BIOC",0.278990392288295,"NEUR",0.413392448124071
"nih_1862825","BIOC",0.384506172839506,"MEDI",0.238870978848723
"nih_1862828","IMMU",0.316407625370957,"IMMU",0.3645118495209
"nih_1862863","BIOC",0.267037037037037,"MULT",0.159437489837725
"nih_1862869","BIOC",0.325547004677833,"CHEM",0.171973638388917
"nih_1862913","BIOC",0.275342816865308,"PHAR",0.31497897983931
"nih_1862941","MEDI",0.429700591635033,"MEDI",0.317986041014261
"nih_1862946","BIOC",0.335421583599426,"NEUR",0.369274347116838
"nih_1862965","BIOC",0.32336445402004,"NEUR",0.531712586937886
"nih_1863075","BIOC",0.249444143981732,"AGRI",0.353821247387394
"nih_1863076","BIOC",0.322314049586777,"NEUR",0.218978991379106
"nih_1863102","BIOC",0.494188850308642,"AGRI",0.334399754698614
"nih_1863113","BIOC",0.60619212962963,"BIOC",0.241350342017809
"nih_1863117","BIOC",0.206813590449954,"NEUR",0.299823020416328
"nih_1863167","BIOC",0.289384336803984,"PHAR",0.542561617775474
"nih_1863176","BIOC",0.211651106567391,"PHAR",0.235948987794078
"nih_1863177","CHEM",0.381279143037177,"CENG",0.463910226580241
"nih_1863178","BIOC",0.62444749276025,"AGRI",0.262475176587192
"nih_1863190","BIOC",0.231404371717762,"CHEM",0.16494617089047
"nih_1863214","CHEM",0.385468888888889,"CHEM",0.426941633554017
"nih_1863216","CHEM",0.424449397957628,"CHEM",0.356276256604038
"nih_1863219","BIOC",0.524661434287473,"MULT",0.238407101390616
"nih_1863223","BIOC",0.567573696145125,"AGRI",0.302724842727737
"nih_1863237","BIOC",0.31566431296161,"IMMU",0.207008549990074
"nih_1863242","BIOC",0.669053819444444,"AGRI",0.264427878144597
"nih_1863260","BIOC",0.361926020408163,"MULT",0.264305513730934
"nih_1863263","BIOC",0.615498611402833,"AGRI",0.216219349570536
"nih_1863265","IMMU",0.214424490653224,"IMMU",0.191540570602032
"nih_1863266","BIOC",0.424869194405869,"MULT",0.151347960193599
"nih_1863275","CHEM",0.2441454056406,"CENG",0.283529243805558
"nih_1863280","MULT",0.381728395061728,"MULT",0.558183504350414
"nih_1863286","BIOC",0.42291498701066,"BIOC",0.174808003546091
"nih_1863290","BIOC",0.305,"MULT",0.322318113789595
"nih_1863298","BIOC",0.4184375,"AGRI",0.272396694325194
"nih_1863303","BIOC",0.457289935364728,"IMMU",0.20689196250064
"nih_1863307","BIOC",0.264279482184888,"NEUR",0.19900593974771
"nih_1863308","BIOC",0.288049768518519,"MULT",0.188325881455383
"nih_1863309","CHEM",0.355882167611846,"CENG",0.386587192642769
"nih_1863312","BIOC",0.443915801614764,"IMMU",0.192999486760409
"nih_1863319","BIOC",0.40492362263565,"CENG",0.2200698258315
"nih_1863322","BIOC",0.7184,"BIOC",0.39539366068803
"nih_1863323","BIOC",0.448152633602461,"CHEM",0.20323454626881
"nih_1863324","BIOC",0.393945062295231,"MEDI",0.185159104674598
"nih_1863325","BIOC",0.343113416165364,"IMMU",0.361086228327644
"nih_1863326","BIOC",0.561114115738237,"BIOC",0.183995225052314
"nih_1863333","CHEM",0.32404728223594,"CENG",0.337261216738676
"nih_1863346","BIOC",0.463861467012066,"MULT",0.17300056806131
"nih_1863349","BIOC",0.51015093537415,"BIOC",0.200787637075828
"nih_1863359","BIOC",0.57009277522098,"BIOC",0.202557791315523
"nih_1863363","CHEM",0.241932817562653,"CHEM",0.212496254597183
"nih_1863364","BIOC",0.558118835769602,"MULT",0.177960960421274
"nih_1863367","BIOC",0.332262014080196,"IMMU",0.381574776773152
"nih_1863368","BIOC",0.532493141289437,"AGRI",0.194191772833331
"nih_1863369","BIOC",0.302932619189314,"MULT",0.26458921663024
"nih_1863375","BIOC",0.255322472126105,"MULT",0.193974808034899
"nih_1863377","BIOC",0.264071517276646,"NEUR",0.35176517594378
"nih_1863389","BIOC",0.432555953540495,"PHAR",0.127557584223864
"nih_1863424","BIOC",0.511844444444444,"BIOC",0.192597940830943
"nih_1863431","MEDI",0.234375,"OTHER",0.238616944146802
"nih_1863435","BIOC",0.507773441485563,"BIOC",0.204877894115289
"nih_1863502","BIOC",0.280159465020576,"NEUR",0.165367224627277
"nih_1863576","BIOC",0.501892361111111,"BIOC",0.146782557654035
"nih_1863714","BIOC",0.223663129251701,"PHAR",0.276323149989958
"nih_1863851","BIOC",0.643229166666667,"BIOC",0.314231370378253
"nih_1863907","BIOC",0.477712031558185,"PHAR",0.168833533197809
"nih_1863931","BIOC",0.465506880596118,"OTHER",0.181702336593423
"nih_1863934","BIOC",0.243007330246914,"MULT",0.260297909924244
"nih_1863974","BIOC",0.283501645998861,"IMMU",0.148829024762858
"nih_1863986","BIOC",0.488206771860618,"BIOC",0.188913570591004
"nih_1864007","OTHER",0.336805555555556,"OTHER",0.495407094595497
"nih_1864076","BIOC",0.400735804525892,"MEDI",0.137515379300553
"nih_1864095","IMMU",0.413304644073875,"IMMU",0.51384688578974
"nih_1864103","IMMU",0.311436339241579,"IMMU",0.357830453220638
"nih_1864105","MEDI",0.426477152828504,"MEDI",0.321391987820693
"nih_1864110","BIOC",0.259955662053564,"PHAR",0.179592595785794
"nih_1864111","BIOC",0.387002743484225,"PHAR",0.238167933156993
"nih_1864123","BIOC",0.409717291255753,"IMMU",0.18337614093388
"nih_1864167","IMMU",0.617088888888889,"IMMU",0.70791472518186
"nih_1864189","IMMU",0.228711111111111,"AGRI",0.249204174470609
"nih_1864202","IMMU",0.347213959944478,"IMMU",0.443065537558027
"nih_1864275","BIOC",0.353911093523282,"PHAR",0.275366519179182
"nih_1864400","BIOC",0.359694762400277,"NEUR",0.179566838767074
"nih_1864452","BIOC",0.483880749465352,"AGRI",0.172175256921816
"nih_1864603","BIOC",0.281301143749591,"PHAR",0.269921436117379
"nih_1864639","BIOC",0.634476832573204,"BIOC",0.191805407504553
